,train_acc,test_acc,test_loss,aug,epe_nas,nwot,plain,snip,fisher,jacob_cov,grad_norm,rank_epe_nas,rank_nwot,rank_plain,rank_snip,rank_fisher,rank_jacob_cov,rank_grad_norm,fisher_jacob,rank_fisher_jacob,model
5,18.92,21.23,3.38,5,0.0,0.0,1.0,0.4319640796679196,1.0,0.0,0.43162555994053653,1.0,23.0,1.0,11.0,1.0,23.0,11.0,1.0,22.0,RegNetY_400MF
4,21.06,20.73,3.4,4,0.0,0.9965381299982194,0.2989916954545127,0.5996153457141031,0.4333240653628774,0.9988949323829144,0.6073341105212555,1.0,20.0,19.0,6.0,9.0,20.0,5.0,1.4322189977457918,8.0,RegNetY_400MF
14,22.89,20.67,3.56,14,0.0,0.996275290043096,0.505209279446664,0.10172310051789513,0.09492304419328224,0.998963370556159,0.13447654320500213,1.0,22.0,12.0,19.0,20.0,19.0,18.0,1.0938864147494414,18.0,RegNetY_400MF
1,21.06,20.1,3.46,1,0.0,0.9999891830315377,0.3472453737596074,0.17723769302379377,0.21018871451400445,0.9997176249213124,0.21491450603817785,1.0,2.0,17.0,17.0,14.0,6.0,14.0,1.209906339435317,13.0,RegNetY_400MF
12,30.62,19.53,3.54,12,0.0,0.9963551676174491,0.16487960173273547,0.7227129737997489,0.6794298640467686,0.9992471071013229,0.697837183407795,1.0,21.0,20.0,2.0,3.0,17.0,3.0,1.6786769711480916,2.0,RegNetY_400MF
2,23.77,19.5,3.48,2,0.0,0.9987636219376155,0.42882566878201456,0.20096019080999294,0.1131039855615974,0.9988750989899247,0.20625726762837937,1.0,7.0,13.0,16.0,17.0,21.0,16.0,1.111979084551522,16.0,RegNetY_400MF
11,24.59,19.37,3.53,11,0.0,0.9972428838144731,0.567359166373049,0.04897040215827486,0.10019362447563596,0.9999290020896348,0.05801739097817116,1.0,13.0,11.0,21.0,18.0,4.0,22.0,1.1001226265652706,17.0,RegNetY_400MF
6,21.8,18.37,3.57,6,0.0,0.9969759307145454,0.579077875687069,0.37266312458588,0.30709750850921314,0.9994398577620578,0.398736395098386,1.0,16.0,10.0,12.0,12.0,12.0,12.0,1.306537366271271,11.0,RegNetY_400MF
3,23.74,18.0,3.64,3,0.0,0.9970317158351447,0.4045504587938934,0.4739414008557965,0.3721755184319875,0.9994335140877664,0.5044543528775369,1.0,14.0,16.0,10.0,11.0,13.0,10.0,1.3716090325197539,10.0,RegNetY_400MF
22,15.8,17.93,3.56,22,0.0,1.0,0.7856524639182823,0.6022853232767966,0.4672048277661851,1.0000000000000002,0.5884434590851031,1.0,1.0,3.0,5.0,6.0,1.0,6.0,1.4672048277661853,5.0,RegNetY_400MF
