,train_acc,test_acc,test_loss,aug,epe_nas,nwot,plain,snip,fisher,jacob_cov,grad_norm,rank_epe_nas,rank_nwot,rank_plain,rank_snip,rank_fisher,rank_jacob_cov,rank_grad_norm,fisher_jacob,rank_fisher_jacob,model
11,87.15,92.47,0.31,11,0.3036262178521807,0.6789244205092615,0.8767243916633567,0.44485102763722617,0.537540294944861,0.7183785469762256,0.3727768250460457,18.0,3.0,3.0,18.0,15.0,10.0,19.0,1.2559188419210865,14.0,RegNetY_400MF
12,91.27,92.17,0.32,12,0.38280032814132703,0.4446241719142989,0.1523622193664158,0.9635414663301503,0.9285287636567293,1.0,0.9702367895605315,15.0,11.0,19.0,2.0,3.0,1.0,2.0,1.9285287636567294,1.0,RegNetY_400MF
2,84.23,92.04,0.33,2,0.6313793675364101,0.15826831077791326,0.09628634918402745,0.2068793553438777,0.10768052784754123,0.7026861973806717,0.21290916056393394,7.0,18.0,20.0,22.0,22.0,12.0,21.0,0.810366725228213,21.0,RegNetY_400MF
1,81.73,91.92,0.32,1,0.44167591134549955,0.29224673979199167,0.6601260132648753,0.8526412680087674,0.6604824734658886,0.5439307933921498,0.9517291938797894,13.0,15.0,6.0,5.0,12.0,19.0,3.0,1.2044132668580385,15.0,RegNetY_400MF
5,73.51,90.89,0.35,5,0.6349557685661407,0.47247306991799576,0.32310303478986235,0.24449263429596169,0.19013201728012263,0.8830517373251894,0.21118042722484676,6.0,9.0,16.0,21.0,21.0,5.0,22.0,1.073183754605312,17.0,RegNetY_400MF
4,73.59,90.83,0.35,4,0.49863450949983346,0.4490634289309128,0.3886899079704601,0.7263030424969394,0.5115132370660772,0.7822641963293222,0.750215004279617,12.0,10.0,14.0,9.0,18.0,7.0,9.0,1.2937774333953995,13.0,RegNetY_400MF
22,81.31,90.12,0.36,22,0.2790969658946132,0.14924435914086587,0.7263161002881988,0.0,0.0,0.5911903281211437,0.0,20.0,20.0,5.0,23.0,23.0,16.0,23.0,0.5911903281211437,22.0,RegNetY_400MF
14,82.23,89.49,0.4,14,0.5229826782519682,0.6763276015975634,0.0,1.0,0.9999999999999999,0.6009081918263348,1.0,10.0,4.0,23.0,1.0,1.0,15.0,1.0,1.6009081918263348,6.0,RegNetY_400MF
9,85.65,89.24,0.4,9,0.5536779483492271,0.1487744131173372,0.4160054755309916,0.572426307319331,0.6189724722204605,0.3715698725952734,0.5716606449548447,9.0,21.0,13.0,15.0,14.0,22.0,15.0,0.9905423448157339,19.0,RegNetY_400MF
8,91.43,88.8,0.4,8,0.1608921616411889,0.15202879291746285,0.9958101266779033,0.7931583023173179,0.8168548434542825,0.5439763957087678,0.7753117434126477,22.0,19.0,2.0,6.0,8.0,18.0,8.0,1.3608312391630504,11.0,RegNetY_400MF
