,train_acc,test_acc,test_loss,aug,epe_nas,nwot,plain,snip,fisher,jacob_cov,grad_norm,rank_epe_nas,rank_nwot,rank_plain,rank_snip,rank_fisher,rank_jacob_cov,rank_grad_norm,fisher_jacob,rank_fisher_jacob,model
8,37.62,38.2,1.66,8,0.3374996991094332,0.7718922067008407,0.637876644498809,0.11091916106247668,0.17689283782733667,0.4980334938997242,0.11150891629299409,11.0,14.0,11.0,21.0,20.0,15.0,21.0,0.6749263317270608,21.0,RegNetY_400MF
18,32.81,36.17,1.71,18,0.29340282891049707,0.7629963953814922,0.5426716141134594,0.6269174830395867,0.5833351113212943,0.7459596289223196,0.6581662969156223,13.0,16.0,16.0,12.0,13.0,9.0,12.0,1.329294740243614,9.0,RegNetY_400MF
9,33.76,34.98,1.73,9,0.26667633693634984,0.9080922301594683,0.7599745844102626,0.2784630936606587,0.26777692717093804,0.6378805726762593,0.24769089776884368,14.0,4.0,8.0,18.0,19.0,11.0,19.0,0.9056574998471973,16.0,RegNetY_400MF
21,27.13,31.45,1.82,21,0.6181749159767129,1.0,0.7206728082523854,0.4403690171923422,0.3914144908824453,0.7765172751976497,0.44523573182290477,7.0,1.0,9.0,16.0,17.0,7.0,16.0,1.167931766080095,12.0,RegNetY_400MF
11,19.45,23.27,1.94,11,0.32721903716526857,0.4599661221355973,0.32972929998692413,0.8321637070260741,0.8960789199594188,0.4747867083766337,0.854487092391996,12.0,18.0,22.0,8.0,4.0,16.0,9.0,1.3708656283360525,7.0,RegNetY_400MF
22,17.47,19.97,2.05,22,0.2656744407279854,0.26212419503713136,0.9728128056017324,0.9132103645634091,0.7365139286924389,0.07981249516902089,0.9665938707627926,15.0,21.0,2.0,5.0,9.0,21.0,5.0,0.8163264238614598,18.0,RegNetY_400MF
14,17.5,19.94,2.03,14,0.09922080314737514,0.20082765382380785,0.6935421427069567,0.6606679196397054,0.6007013232732492,0.5440103341339917,0.6785587918419425,21.0,22.0,10.0,11.0,12.0,14.0,10.0,1.144711657407241,13.0,RegNetY_400MF
12,17.59,19.86,2.02,12,0.009775875662796363,0.0,0.0,0.8885622781193576,0.831027266636144,0.7949578046837882,0.9692790557405044,22.0,23.0,23.0,7.0,5.0,5.0,3.0,1.6259850713199322,2.0,RegNetY_400MF
19,21.89,17.81,2.1,19,0.34731552413476363,0.880810756079768,0.8514563695560912,0.5502018986792039,0.5636899755342333,0.9658455397039081,0.5524198747687739,10.0,7.0,5.0,14.0,14.0,2.0,14.0,1.5295355152381414,4.0,RegNetY_400MF
10,29.88,16.25,2.2,10,0.6004818675085475,0.8606516990251976,0.7656642874990631,0.9446936222193885,0.8264549340731853,0.14432428069379455,0.9567229336022729,8.0,9.0,7.0,4.0,7.0,20.0,6.0,0.9707792147669798,15.0,RegNetY_400MF
0,26.76,15.6,2.19,0,0.6657076683344516,0.8876347604987131,1.0,0.6071267923705399,0.6467183594645367,0.5479014571293632,0.6064996061443515,6.0,6.0,1.0,13.0,11.0,13.0,13.0,1.1946198165939,10.0,RegNetY_400MF
17,20.52,15.52,2.18,17,0.580168851313156,0.9703393781829845,0.3688754554539905,0.0,0.05874534207933779,0.8316087452324776,0.0,9.0,2.0,21.0,23.0,22.0,3.0,23.0,0.8903540873118154,17.0,RegNetY_400MF
15,20.77,14.74,2.19,15,0.16959822066448682,0.8457125183907692,0.8835253501819699,0.6817699815010911,0.7127463728556243,0.7922247918322203,0.6670700623059873,19.0,11.0,4.0,10.0,10.0,6.0,11.0,1.5049711646878445,5.0,RegNetY_400MF
16,25.04,14.71,2.21,16,0.8854863620853481,0.8364125974914032,0.3890664942149112,0.9967008739394543,0.9975101643820012,1.0,0.9691926865681064,2.0,12.0,20.0,2.0,2.0,1.0,4.0,1.9975101643820012,1.0,RegNetY_400MF
7,25.65,13.11,2.27,7,0.25687833461102194,0.9037213604302679,0.553744601140399,0.9058606982275421,0.9044102779318157,0.6590682570116595,0.9354414880430637,16.0,5.0,15.0,6.0,3.0,10.0,7.0,1.5634785349434752,3.0,RegNetY_400MF
2,41.05,12.99,2.56,2,0.23279739408455224,0.7836262384902284,0.4709995179772341,0.46886805528604913,0.44641646689585435,0.022955892335920325,0.46808078532392194,17.0,13.0,18.0,15.0,15.0,22.0,15.0,0.46937235923177467,22.0,RegNetY_400MF
