,name,fisher,jacob_cov,aug,batch
0,marigold_puma,0.00024105820921249688,-666.0567816789412,0,0
1,rigorous_collie,0.022317642346024513,-670.488845169991,0,0
2,able_nuthatch,0.08641216158866882,-668.4255780342891,0,0
3,cerulean_salmon,0.0044344449415802956,-666.4780016473561,0,0
4,olive_dugong,0.00024642967036925256,-666.7343535426363,0,0
5,magnificent_tody,0.023084580898284912,-668.9287707062495,0,0
6,quick_nuthatch,0.00033012288622558117,-665.4872590031072,0,0
7,funny_bandicoot,0.0008276004809886217,-664.7901192447603,0,0
8,fair_zebra,0.0003104202332906425,-669.1748708155133,0,0
9,coral_pegasus,0.00037931770202703774,-668.1377433029188,0,0
10,stoic_perch,0.0032325866632163525,-669.3490859692237,0,0
11,towering_quoll,0.001819112803786993,-666.7730171270157,0,0
12,impossible_tapir,0.00023763348872307688,-667.1372998198073,0,0
13,heretic_pillbug,0.00079612887930125,-666.6945915359897,0,0
14,adorable_alligator,0.0009792677592486143,-665.4711742523215,0,0
15,funny_skylark,0.0018408504547551274,-668.6260509364469,0,0
16,imperial_harrier,0.0001496313198003918,-664.7887174884191,0,0
17,rustling_cat,4.4684500608127564e-05,-665.390462038383,0,0
18,hairy_bumblebee,0.000628426787443459,-666.9636002104353,0,0
19,defiant_beetle,0.0029140375554561615,-672.5791883233778,0,0
0,marigold_puma,0.0002796588814817369,-665.8832609307071,1,0
1,rigorous_collie,0.0172506645321846,-672.6551003313339,1,0
2,able_nuthatch,0.08235614746809006,-668.9065584037985,1,0
3,cerulean_salmon,0.002815104555338621,-666.8723834620448,1,0
4,olive_dugong,0.00025267654564231634,-667.7674013989595,1,0
5,magnificent_tody,0.014968646690249443,-669.2500020548448,1,0
6,quick_nuthatch,0.0002550798235461116,-665.219381498451,1,0
7,funny_bandicoot,0.000676227267831564,-665.6545603269682,1,0
8,fair_zebra,0.0002568289346527308,-667.7958556219792,1,0
9,coral_pegasus,0.00033738574711605906,-667.3934438633866,1,0
10,stoic_perch,0.0022391437087208033,-670.445204071062,1,0
11,towering_quoll,0.0013874844880774617,-665.8975497563256,1,0
12,impossible_tapir,0.00016248138854280114,-667.6208751961917,1,0
13,heretic_pillbug,0.0006560184410773218,-667.662867348177,1,0
14,adorable_alligator,0.001015238231047988,-665.8935175352556,1,0
15,funny_skylark,0.002371022943407297,-671.3132587975415,1,0
16,imperial_harrier,0.00014358671614900231,-664.4309979801501,1,0
17,rustling_cat,3.95633396692574e-05,-665.2964981203613,1,0
18,hairy_bumblebee,0.0005343483644537628,-665.7203046924619,1,0
19,defiant_beetle,0.003094349056482315,-676.8150451396175,1,0
0,marigold_puma,0.0002467468730174005,-666.2816420840222,2,0
1,rigorous_collie,0.014696615748107433,-670.3708841858631,2,0
2,able_nuthatch,0.0802687481045723,-669.0015063881681,2,0
3,cerulean_salmon,0.0028144007083028555,-667.3243649895721,2,0
4,olive_dugong,0.0001919460773933679,-669.4090524300367,2,0
5,magnificent_tody,0.01333405077457428,-669.3998092698616,2,0
6,quick_nuthatch,0.0002545794122852385,-666.1318065939417,2,0
7,funny_bandicoot,0.0006642128573730588,-665.9864810299429,2,0
8,fair_zebra,0.00020313150889705867,-667.6046555297293,2,0
9,coral_pegasus,0.00035389623371884227,-666.9414983632398,2,0
10,stoic_perch,0.002195838140323758,-670.6123471582624,2,0
11,towering_quoll,0.002235331805422902,-666.4475537220883,2,0
12,impossible_tapir,0.00018716156773734838,-667.2781119590996,2,0
13,heretic_pillbug,0.0007510555442422628,-668.9718729064092,2,0
14,adorable_alligator,0.0009924384066835046,-666.300662154491,2,0
15,funny_skylark,0.0015692277811467648,-669.3397327093687,2,0
16,imperial_harrier,0.00016556691844016314,-664.0497098654075,2,0
17,rustling_cat,4.317226921557449e-05,-665.8773053887024,2,0
18,hairy_bumblebee,0.000627797213383019,-667.3536326671183,2,0
19,defiant_beetle,0.0019230775069445372,-672.0185674967886,2,0
0,marigold_puma,0.0003164988593198359,-665.7786836919638,3,0
1,rigorous_collie,0.015129879117012024,-670.6646286734601,3,0
2,able_nuthatch,0.08918038755655289,-669.5527021658893,3,0
3,cerulean_salmon,0.0029411320574581623,-667.1394676788138,3,0
4,olive_dugong,0.00018623068172018975,-667.1809656764004,3,0
5,magnificent_tody,0.01818326860666275,-668.4107231659416,3,0
6,quick_nuthatch,0.00027520282310433686,-666.3111036004811,3,0
7,funny_bandicoot,0.0008382478845305741,-666.247067300987,3,0
8,fair_zebra,0.00028011947870254517,-669.3277491712929,3,0
9,coral_pegasus,0.00023961828264873475,-666.9355001771237,3,0
10,stoic_perch,0.0022693227510899305,-670.0542357291074,3,0
11,towering_quoll,0.001886612270027399,-666.2729431147288,3,0
12,impossible_tapir,0.00013258472608868033,-666.8696757298272,3,0
13,heretic_pillbug,0.0005595397087745368,-668.1334422618559,3,0
14,adorable_alligator,0.0007634836947545409,-665.9303466063375,3,0
15,funny_skylark,0.0018424473237246275,-669.5342686650553,3,0
