,name,fisher,jacob_cov,aug,batch
0,cerise_cuckoo,0.5159077644348145,-913.5338014986153,0,0
1,merciful_booby,0.03297487646341324,-1190.5043136118866,0,0
2,lemon_ringtail,0.003937045112252235,-974.7494605271495,0,0
3,steady_bug,0.00013980554649606347,-995.7914448803637,0,0
4,cunning_dinosaur,0.684830904006958,-996.2073447265491,0,0
5,venomous_tamarin,0.002931748516857624,-927.0425679366624,0,0
6,garnet_caracal,0.00041227860492654145,-915.979238323738,0,0
7,tuscan_snail,0.005054055247455835,-978.4980475599265,0,0
8,happy_spoonbill,0.002118125557899475,-984.9968735821705,0,0
9,ultramarine_earwig,0.011132591404020786,-988.6457074207214,0,0
10,optimistic_herring,0.004757490940392017,-945.2169198918575,0,0
11,gleaming_horse,0.013398612849414349,-898.5202848795923,0,0
12,berserk_locust,0.00023562286514788866,-906.0797951739305,0,0
13,garrulous_dragonfly,0.0697513222694397,-914.9009298312528,0,0
14,vehement_chipmunk,0.009512418881058693,-932.3870471422379,0,0
15,curvy_coucal,0.13954833149909973,-920.5137870098681,0,0
16,belligerent_bullfinch,0.0010211365297436714,-909.4305913141859,0,0
17,tacky_duck,0.0032180154230445623,-948.477838307869,0,0
18,glittering_kagu,0.00028879265300929546,-908.5973878860079,0,0
19,beryl_trout,0.000307390553643927,-909.7307401450104,0,0
0,cerise_cuckoo,0.19733844697475433,-880.1196405073257,1,0
1,merciful_booby,0.012040591798722744,-948.9875150384014,1,0
2,lemon_ringtail,0.0015893953386694193,-921.1965040901233,1,0
3,steady_bug,0.00010266021854477003,-935.1870530848676,1,0
4,cunning_dinosaur,0.2607370615005493,-910.0875161321032,1,0
5,venomous_tamarin,0.0012581910705193877,-913.4215507489415,1,0
6,garnet_caracal,0.00030830572359263897,-871.8093066553512,1,0
7,tuscan_snail,0.0028308690525591373,-927.4841721582217,1,0
8,happy_spoonbill,0.0010283662704750896,-927.0081420642965,1,0
9,ultramarine_earwig,0.00605181697756052,-910.2999099198087,1,0
10,optimistic_herring,0.0029354875441640615,-887.091614096907,1,0
11,gleaming_horse,0.006172861438244581,-888.2839813739768,1,0
12,berserk_locust,0.00017143736477009952,-863.3169363578514,1,0
13,garrulous_dragonfly,0.022652726620435715,-911.3074267139083,1,0
14,vehement_chipmunk,0.004508448299020529,-905.290733137368,1,0
15,curvy_coucal,0.06348162144422531,-879.0765366519613,1,0
16,belligerent_bullfinch,0.0005883029662072659,-875.3704557130625,1,0
17,tacky_duck,0.0017550779739394784,-903.969350786901,1,0
18,glittering_kagu,0.0002031421463470906,-908.2807453210044,1,0
19,beryl_trout,0.00027619971660897136,-888.6190630113836,1,0
0,cerise_cuckoo,0.1906062364578247,-886.1394629989804,2,0
1,merciful_booby,0.010398618876934052,-943.456811399047,2,0
