,name,fisher,jacob_cov,aug,batch
0,fabulous_bullmastiff,0.010334705002605915,-673.3388950895336,0,0
1,crafty_manul,0.0005846962449140847,-672.1941194552787,0,0
2,observant_locust,0.0070048305206000805,-673.4629858754874,0,0
3,scarlet_perch,0.17123892903327942,-672.6762133968396,0,0
4,gentle_boar,0.0004637783858925104,-669.4574406904808,0,0
5,spicy_silkworm,0.15518131852149963,-671.2444737371408,0,0
6,elastic_binturong,7.114851905498654e-05,-670.0708717722332,0,0
7,tested_spider,0.023218795657157898,-669.570830263876,0,0
8,truthful_trogon,0.0011893913615494967,-673.036824772783,0,0
9,brown_stallion,0.48588064312934875,-669.9977363665167,0,0
10,masterful_seal,0.0028843232430517673,-670.9845647661252,0,0
11,chirpy_iguana,0.004331465344876051,-668.6788535034999,0,0
12,wakeful_llama,0.0001772440882632509,-668.4373070886438,0,0
13,wealthy_groundhog,0.00022676053049508482,-672.0029195917023,0,0
14,loyal_deer,0.002432210138067603,-675.6826572266009,0,0
15,silver_oyster,0.16492445766925812,-670.2866247003033,0,0
16,intrepid_boa,0.009087753482162952,-670.1085527170527,0,0
17,statuesque_cuckoo,0.01315738819539547,-671.8162055338905,0,0
18,tricky_caracara,0.0004044448141939938,-668.7569977180528,0,0
19,neon_falcon,0.0005159647553227842,-673.0697147689992,0,0
0,fabulous_bullmastiff,0.00522417388856411,-671.0824505669159,1,0
1,crafty_manul,0.0007409201934933662,-669.9581534881731,1,0
2,observant_locust,0.006421530153602362,-671.5724204994026,1,0
3,scarlet_perch,0.20211032032966614,-671.8053635803495,1,0
4,gentle_boar,0.0004039621271658689,-668.4171681954444,1,0
5,spicy_silkworm,0.07449748367071152,-670.2918402668444,1,0
6,elastic_binturong,5.510843402589671e-05,-668.4381298660218,1,0
7,tested_spider,0.011509360745549202,-669.8815904028405,1,0
8,truthful_trogon,0.0019193539628759027,-670.7983174920757,1,0
9,brown_stallion,0.2792920768260956,-670.957683514933,1,0
10,masterful_seal,0.004176998510956764,-669.2116219284196,1,0
11,chirpy_iguana,0.003460356267169118,-669.1782919379323,1,0
12,wakeful_llama,0.00021567143267020583,-668.1949949403756,1,0
13,wealthy_groundhog,0.00014720894978381693,-668.9237515855332,1,0
14,loyal_deer,0.002432279521599412,-670.1447328867927,1,0
15,silver_oyster,0.10379151999950409,-669.9527067567351,1,0
16,intrepid_boa,0.006922589149326086,-669.1097312668296,1,0
17,statuesque_cuckoo,0.013380634598433971,-669.51428536827,1,0
18,tricky_caracara,0.00041060749208554626,-666.9931564887331,1,0
19,neon_falcon,0.000336146738845855,-670.1708988363737,1,0
0,fabulous_bullmastiff,0.004523100331425667,-671.2775351036771,2,0
1,crafty_manul,0.0005433605401776731,-669.7567378710767,2,0
2,observant_locust,0.008249493315815926,-673.0630266186625,2,0
3,scarlet_perch,0.11829143762588501,-671.1194714067803,2,0
4,gentle_boar,0.00038465039688162506,-668.1398316732573,2,0
5,spicy_silkworm,0.07339213043451309,-671.6890643281982,2,0
6,elastic_binturong,8.505381993018091e-05,-671.4519929392784,2,0
7,tested_spider,0.015072590671479702,-668.9714259306221,2,0
8,truthful_trogon,0.0010791755048558116,-670.6796302751807,2,0
9,brown_stallion,0.4548068940639496,-670.4335633589394,2,0
