,name,fisher,jacob_cov,aug,batch
0,burrowing_wolf,0.047003377228975296,-1080.3201272105634,0,0
1,hysterical_ibex,0.004304299131035805,-914.229213184439,0,0
2,fanatic_kittiwake,0.0009163996437564492,-955.3961881039494,0,0
3,super_cat,0.0005102138966321945,-926.1188584820898,0,0
4,illustrious_armadillo,0.0026867485139518976,-897.9997058880559,0,0
5,monumental_coati,0.6644717454910278,-923.2849786849984,0,0
6,fluffy_stallion,0.00039715931052342057,-1156.595375698864,0,0
7,magnetic_seahorse,0.04710189253091812,-1154.8272849202933,0,0
8,brown_leopard,0.0017345945816487074,-983.9100072894287,0,0
9,wooden_gharial,0.005230539944022894,-958.5242041736029,0,0
10,psychedelic_bullfinch,0.00017738154565449804,-1436.6486071876757,0,0
11,merciful_wapiti,0.0035439925268292427,-947.7421003181817,0,0
12,sandy_wombat,0.6554462909698486,-921.52158447926,0,0
13,cobalt_platypus,0.006726736668497324,-943.8443599849751,0,0
14,emerald_dingo,0.001794040435925126,-961.0888465293503,0,0
15,furry_quokka,0.24880048632621765,-1002.6272483573016,0,0
16,bouncy_woodlouse,0.011635596863925457,-911.4531452792049,0,0
17,light_donkey,0.5299156308174133,-894.4833671673014,0,0
18,ginger_aardwark,0.10266390442848206,-963.7968208190983,0,0
19,cornflower_husky,1.0223898887634277,-945.3997089302145,0,0
0,burrowing_wolf,0.02233893983066082,-978.0768798888297,1,0
1,hysterical_ibex,0.0022207314614206553,-892.9612871787988,1,0
2,fanatic_kittiwake,0.0005545711028389633,-895.5265466337152,1,0
3,super_cat,0.0003771719348151237,-879.5228693790456,1,0
4,illustrious_armadillo,0.0015776813961565495,-876.3925300794573,1,0
5,monumental_coati,0.4076085090637207,-896.9254892798131,1,0
6,fluffy_stallion,0.00022772305237594992,-1054.3885300955599,1,0
7,magnetic_seahorse,0.025999898090958595,-1010.8216878693111,1,0
8,brown_leopard,0.0008079317631199956,-948.86575216132,1,0
