,train_acc,test_acc,test_loss,aug,epe_nas,nwot,plain,snip,fisher,jacob_cov,grad_norm,rank_epe_nas,rank_nwot,rank_plain,rank_snip,rank_fisher,rank_jacob_cov,rank_grad_norm,fisher_jacob,rank_fisher_jacob,model
16,49.94,39.65,1.55,16,0.49766567835046294,0.989277365409396,0.4820010531716532,0.4166011640668996,0.5469078720399881,0.9999980221426353,0.4305822619507653,9.0,2.0,12.0,9.0,5.0,13.0,11.0,1.5469058941826235,4.0,RegNetY_400MF
2,42.51,39.45,1.63,2,0.24006234410976512,0.0,0.22449407975283403,0.4233937037479172,0.4345715358657988,9.251066111737316e-05,0.44820906301265184,20.0,23.0,21.0,8.0,8.0,22.0,8.0,0.43466404652691615,23.0,RegNetY_400MF
19,52.1,39.35,1.57,19,0.7522782286537497,0.9734968698021604,0.3552842220391288,0.12396475855416567,0.21052600132376098,0.9999988625210946,0.17083170387252755,2.0,13.0,15.0,19.0,19.0,4.0,19.0,1.2105248638448556,17.0,RegNetY_400MF
15,61.43,39.31,1.63,15,0.5929446759660744,0.976143010529412,0.9999999999999999,0.5582838660565805,0.6068213296782013,0.9999981214060272,0.5537393272734801,6.0,9.0,1.0,4.0,4.0,11.0,4.0,1.6068194510842284,3.0,RegNetY_400MF
1,35.33,38.77,1.57,1,0.43589276613748007,0.9784976088752182,0.7151328425515135,0.45532899059639487,0.398881552610865,0.9999988594235499,0.4549036809761371,14.0,7.0,5.0,6.0,13.0,5.0,6.0,1.398880412034415,11.0,RegNetY_400MF
17,38.45,38.05,1.56,17,0.07360221939561207,1.0000000000000004,0.560123402926175,0.07240878384075922,0.17772751282766797,0.9999976119932161,0.08628057825840907,22.0,1.0,10.0,21.0,21.0,17.0,21.0,1.177725124820884,19.0,RegNetY_400MF
4,54.89,38.02,1.92,4,0.24480413884891528,0.9646481812101153,0.7181953859796396,0.0,0.0,0.9999961694061176,0.0,19.0,21.0,4.0,23.0,23.0,20.0,23.0,0.9999961694061176,21.0,RegNetY_400MF
5,55.92,37.66,1.92,5,0.6482814451784673,0.966059665040055,0.30328594117206814,0.05813456311777587,0.1352770990915354,0.9999978768926695,0.05093046563704107,5.0,17.0,17.0,22.0,22.0,14.0,22.0,1.135274975984205,20.0,RegNetY_400MF
22,49.0,37.48,1.74,22,0.5488231432718456,0.9763396537621278,0.2669983999697259,0.29758903035098916,0.29082608477247895,0.9999977717407988,0.29003899488281615,8.0,8.0,18.0,16.0,16.0,15.0,16.0,1.2908238565132777,14.0,RegNetY_400MF
6,57.43,36.73,1.73,6,0.49107704952717324,0.9702118239954935,0.22776568637007671,0.4051245133600503,0.391966329294262,0.9999983475559309,0.43884928541616164,10.0,15.0,19.0,11.0,14.0,8.0,9.0,1.391964676850193,12.0,RegNetY_400MF
10,90.69,36.62,2.07,10,0.48459158247689293,0.9652738159032501,0.7975935517648058,0.3854221470324761,0.4030339617029911,0.999996616480358,0.40854073419925907,11.0,19.0,2.0,12.0,12.0,18.0,12.0,1.403030578183349,10.0,RegNetY_400MF
3,83.28,36.32,2.15,3,0.0,0.9313016495921054,0.6608095361702968,0.7186494416599181,0.6245241420394106,0.0,0.7804067056808903,23.0,22.0,6.0,2.0,3.0,23.0,2.0,0.6245241420394106,22.0,RegNetY_400MF
9,49.01,36.19,1.61,9,1.0,0.9723256186031652,0.45540701181886994,0.9999999999999996,1.0,0.9999993840444421,1.0,1.0,14.0,13.0,1.0,1.0,2.0,1.0,1.999999384044442,1.0,RegNetY_400MF
7,88.01,36.06,2.06,7,0.3790537862272574,0.9655378543696904,0.22576436036040293,0.4284167638596279,0.4630713421258025,0.9999987232137346,0.44989093733548247,16.0,18.0,20.0,7.0,7.0,6.0,7.0,1.463070065339537,6.0,RegNetY_400MF
18,37.17,35.73,1.59,18,0.7129158033608078,0.9854070950554683,0.03327918526343565,0.7058629594124177,0.7122196495950491,0.9999984383691899,0.711539212853419,3.0,4.0,22.0,3.0,2.0,7.0,3.0,1.712218087964239,2.0,RegNetY_400MF
0,93.93,35.71,2.16,0,0.34620774138834776,0.9652713464671634,0.48994760306308394,0.3744481330188325,0.40605856280993147,0.9999976546707188,0.3634863846703422,18.0,20.0,11.0,13.0,11.0,16.0,14.0,1.4060562174806503,9.0,RegNetY_400MF
8,49.94,35.37,1.64,8,0.45765591482632395,0.9795378481312249,0.386089609044234,0.35405894010455485,0.42543057082153946,0.9999999999999999,0.34316154464761306,13.0,6.0,14.0,14.0,9.0,1.0,15.0,1.4254305708215393,7.0,RegNetY_400MF
21,37.28,35.27,1.6,21,0.5687650480526933,0.986166067027352,0.34510295031661875,0.26572219468375735,0.3779533178444606,0.9999981980366557,0.26699542126348685,7.0,3.0,16.0,17.0,15.0,9.0,17.0,1.3779515158811164,13.0,RegNetY_400MF
11,26.76,26.57,1.73,11,0.43149191678266874,0.9751576556825419,0.6105936034604307,0.40571709556677726,0.4201188198213609,0.9999960673631098,0.4381445073535586,15.0,10.0,9.0,10.0,10.0,21.0,10.0,1.4201148871844707,8.0,RegNetY_400MF
12,27.2,26.51,1.73,12,0.35516618214330986,0.9746771621859458,0.6144015574658533,0.11720495639461337,0.18672585602429603,0.9999993778260887,0.1572065104163647,17.0,11.0,8.0,20.0,20.0,3.0,20.0,1.1867252338503849,18.0,RegNetY_400MF
14,24.12,24.46,1.75,14,0.4714184502753258,0.9737912758405822,0.6505396554435915,0.19657856525662742,0.27074948721415615,0.9999981439507861,0.21063967312532705,12.0,12.0,7.0,18.0,18.0,10.0,18.0,1.2707476311649422,16.0,RegNetY_400MF
20,21.43,22.67,1.76,20,0.665137990633133,0.9813892153822565,0.0,0.48665086226994037,0.4821080947469353,0.9999962883520556,0.49838871952811603,4.0,5.0,23.0,5.0,6.0,19.0,5.0,1.4821043830989908,5.0,RegNetY_400MF
13,20.75,21.74,1.77,13,0.18853396245441667,0.9694271577536973,0.7437220224882726,0.33636976600608515,0.2880792034774503,0.9999980310077035,0.36553341293998853,21.0,16.0,3.0,15.0,17.0,12.0,13.0,1.2880772344851539,15.0,RegNetY_400MF
