,name,fisher,jacob_cov,aug,batch
0,successful_bustard,0.006145878694951534,-55993719.34657967,0,0
1,charcoal_wapiti,1.2170400619506836,-55993715.48658548,0,0
2,refreshing_mole,0.010101066902279854,-55993719.75063954,0,0
3,crystal_petrel,4.443305969238281,-55993715.225185074,0,0
4,vengeful_hoatzin,0.13280649483203888,-55993717.33806649,0,0
5,beige_wolf,0.018158642575144768,-55993716.91928087,0,0
6,hilarious_lyrebird,0.4735707640647888,-55993716.58301687,0,0
7,refreshing_horse,15.8761625289917,-55993716.62700532,0,0
8,placid_junglefowl,0.3862147629261017,-55993719.96456135,0,0
9,accomplished_bullfinch,2.0138227939605713,-55993717.856949486,0,0
10,fragrant_platypus,0.03656497225165367,-55993718.96748951,0,0
11,sapphire_vicugna,4.4525980949401855,-55993715.495046966,0,0
12,masked_bullfrog,0.0006286988500505686,-55993718.315989584,0,0
13,crystal_teal,0.7091194987297058,-55993718.415573314,0,0
14,chocolate_orca,0.08861380815505981,-55993718.579074666,0,0
15,aquatic_prawn,0.2713176906108856,-55993719.652446836,0,0
16,aloof_tarsier,0.28049156069755554,-55993711.7455231,0,0
17,satisfied_hamster,1.6727604866027832,-55993718.844764486,0,0
18,amaranth_emu,0.002425716957077384,-55993716.653185666,0,0
19,mighty_wapiti,0.003918403293937445,-55993718.47546832,0,0
0,successful_bustard,0.004455890506505966,-55993719.23103145,1,0
1,charcoal_wapiti,1.0373727083206177,-55993716.79362126,1,0
2,refreshing_mole,0.005365944467484951,-55993718.13838168,1,0
3,crystal_petrel,4.669332027435303,-55993717.78116301,1,0
4,vengeful_hoatzin,0.13609202206134796,-55993716.069936156,1,0
5,beige_wolf,0.01544738095253706,-55993718.20471682,1,0
6,hilarious_lyrebird,0.38731229305267334,-55993718.25602062,1,0
7,refreshing_horse,16.962888717651367,-55993716.74408172,1,0
8,placid_junglefowl,0.21890752017498016,-55993720.17798053,1,0
9,accomplished_bullfinch,1.5147271156311035,-55993717.94374437,1,0
10,fragrant_platypus,0.027663590386509895,-55993719.90193258,1,0
11,sapphire_vicugna,5.0513434410095215,-55993717.78748809,1,0
12,masked_bullfrog,0.0005448691081255674,-55993718.362654984,1,0
13,crystal_teal,0.5928419828414917,-55993719.113727845,1,0
14,chocolate_orca,0.08359542489051819,-55993717.82038353,1,0
15,aquatic_prawn,0.1501644253730774,-55993716.832657,1,0
16,aloof_tarsier,0.2716744542121887,-55993719.25448649,1,0
17,satisfied_hamster,1.782348394393921,-55993718.30997376,1,0
18,amaranth_emu,0.0020930960308760405,-55993717.830046184,1,0
19,mighty_wapiti,0.003394423983991146,-55993719.04277392,1,0
0,successful_bustard,0.00527904974296689,-55993720.40025995,2,0
1,charcoal_wapiti,1.3570704460144043,-55993717.72794497,2,0
2,refreshing_mole,0.008265272714197636,-55993720.10916677,2,0
3,crystal_petrel,4.200865745544434,-55993718.69664033,2,0
4,vengeful_hoatzin,0.1349857747554779,-55993714.83145483,2,0
5,beige_wolf,0.016075287014245987,-55993717.947965,2,0
6,hilarious_lyrebird,0.48719191551208496,-55993717.13355216,2,0
7,refreshing_horse,13.961217880249023,-55993717.01842243,2,0
8,placid_junglefowl,0.302681565284729,-55993720.329122595,2,0
9,accomplished_bullfinch,1.5384989976882935,-55993718.46896782,2,0
10,fragrant_platypus,0.034876491874456406,-55993718.91452275,2,0
11,sapphire_vicugna,5.0381269454956055,-55993717.50506574,2,0
12,masked_bullfrog,0.0006033340469002724,-55993720.462869525,2,0
13,crystal_teal,0.534713864326477,-55993719.31248169,2,0
14,chocolate_orca,0.07122846692800522,-55993716.1973509,2,0
15,aquatic_prawn,0.20795081555843353,-55993718.952564076,2,0
16,aloof_tarsier,0.204715758562088,-55993717.5320432,2,0
17,satisfied_hamster,1.8352913856506348,-55993717.32880257,2,0
18,amaranth_emu,0.002000642940402031,-55993718.01747372,2,0
