,train_acc,test_acc,test_loss,aug,epe_nas,nwot,plain,snip,fisher,jacob_cov,grad_norm,rank_epe_nas,rank_nwot,rank_plain,rank_snip,rank_fisher,rank_jacob_cov,rank_grad_norm,fisher_jacob,rank_fisher_jacob,model
9,94.9,89.91,0.37,9,0.08875994183326252,0.564732521555726,0.4116112328622125,0.20596618034087788,0.22099692498572,0.7639130342923863,0.16774643707275816,20.0,15.0,13.0,15.0,14.0,4.0,15.0,0.9849099592781063,10.0,RegNetY_400MF
13,94.05,89.11,0.39,13,0.5651958059498181,0.8228905347453406,0.34432170817049756,0.017846545490864507,0.07060416615641929,0.5223431439239903,0.003650416314068039,6.0,11.0,16.0,21.0,21.0,9.0,22.0,0.5929473100804096,16.0,RegNetY_400MF
8,95.07,89.07,0.4,8,0.4816364568066831,0.5507396634107806,0.27537138061614325,0.12421042362753987,0.18843036527198043,0.13262477939701967,0.07524040539787391,10.0,16.0,21.0,19.0,15.0,21.0,19.0,0.3210551446690001,21.0,RegNetY_400MF
14,95.0,88.92,0.4,14,0.6357918669184359,0.8778270784518867,0.6821640106924692,0.2306648874704873,0.18667488555899459,0.2628653784669268,0.18718289519212838,5.0,5.0,2.0,12.0,16.0,19.0,13.0,0.4495402640259214,17.0,RegNetY_400MF
5,81.04,88.45,0.4,5,0.44904463559205343,0.0,0.5110688067380647,0.19297244054317586,0.0,0.3595674258828012,0.31249304567727165,11.0,23.0,6.0,16.0,23.0,17.0,9.0,0.3595674258828012,20.0,RegNetY_400MF
4,81.56,88.3,0.41,4,1.0,0.2942386687722376,0.6024237342894802,0.23228763251270346,0.16452487409003347,0.4780802777017925,0.17067901957884324,1.0,21.0,3.0,11.0,17.0,13.0,14.0,0.642605151791826,15.0,RegNetY_400MF
11,95.6,87.65,0.46,11,0.5561497399830069,0.8950534626165876,0.4335480866280078,0.2977645073589277,0.22134388045402886,1.0,0.23493253051482954,8.0,3.0,10.0,9.0,13.0,1.0,10.0,1.2213438804540289,6.0,RegNetY_400MF
12,96.01,86.73,0.48,12,0.24928436060515935,0.8686604398379671,0.36380574080615385,0.22094600345320714,0.2801954324210377,0.5154575172005025,0.22325813047717524,13.0,6.0,14.0,14.0,9.0,10.0,11.0,0.7956529496215402,11.0,RegNetY_400MF
1,84.17,86.47,0.46,1,0.8306499885219232,0.3887208481823734,0.43325988192433146,0.015837235072064804,0.01295487770633591,0.4334541340545002,0.03610910837557446,3.0,19.0,11.0,22.0,22.0,16.0,20.0,0.4464090117608361,18.0,RegNetY_400MF
2,85.63,85.66,0.48,2,0.5299534167821891,0.3825943020201379,0.27708447554504445,0.0,0.08494088900713481,0.02008478012521664,0.0,9.0,20.0,20.0,23.0,20.0,22.0,23.0,0.10502566913235145,23.0,RegNetY_400MF
22,75.08,83.88,0.54,22,0.23000633446979268,0.24800078047495333,0.31650695263036127,0.3479511454363471,0.2834902122926459,0.43410855782792623,0.33767256813365387,15.0,22.0,18.0,8.0,8.0,15.0,8.0,0.7175987701205722,12.0,RegNetY_400MF
10,98.36,82.27,0.66,10,0.08281925637683596,0.5700596704824932,0.5550473528454422,0.22406092403061306,0.15933107128134216,0.5402800483019519,0.16606597729675787,21.0,14.0,4.0,13.0,18.0,8.0,16.0,0.699611119583294,13.0,RegNetY_400MF
