,train_acc,test_acc,test_loss,aug,epe_nas,nwot,plain,snip,fisher,jacob_cov,grad_norm,rank_epe_nas,rank_nwot,rank_plain,rank_snip,rank_fisher,rank_jacob_cov,rank_grad_norm,fisher_jacob,rank_fisher_jacob,model
16,49.94,39.65,1.55,16,0.46314197855643346,0.9916268783047362,0.4393930063090027,0.3230757950262273,0.3245320121873142,0.9999981009133301,0.3235916025254433,12.0,4.0,8.0,14.0,15.0,6.0,14.0,1.3245301131006442,13.0,RegNetY_400MF
2,42.51,39.45,1.63,2,0.2088159379520258,0.8912876478296168,0.5401933524252777,0.13198465716861962,0.21439074703257577,0.9998600508270853,0.1305869944997049,19.0,18.0,5.0,20.0,18.0,18.0,20.0,1.214250797859661,16.0,RegNetY_400MF
19,52.1,39.35,1.57,19,0.7356439950017903,0.9847988338989584,0.7209207496076543,0.25485923562781654,0.36785310651642644,0.999998514638842,0.2497548666394276,7.0,14.0,2.0,18.0,13.0,3.0,18.0,1.3678516211552685,12.0,RegNetY_400MF
15,61.43,39.31,1.63,15,0.8189048890243749,0.9876500443181602,0.13535069011944217,0.6307755042407575,0.6934095590926547,0.9999981211516862,0.5931363942880634,6.0,12.0,19.0,4.0,4.0,5.0,5.0,1.693407680244341,3.0,RegNetY_400MF
1,35.33,38.77,1.57,1,0.44035941775912635,0.5173189981477662,0.10288263518468072,0.502621921103044,0.3521923147955014,0.00014708694209764062,0.4845000290468988,13.0,19.0,20.0,8.0,14.0,22.0,9.0,0.35233940173759903,23.0,RegNetY_400MF
17,38.45,38.05,1.56,17,1.0,1.0,0.05514236753898033,0.18204347935117893,0.2659166663281499,1.0000000000000002,0.1651523229013776,1.0,1.0,21.0,19.0,17.0,1.0,19.0,1.2659166663281503,15.0,RegNetY_400MF
4,54.89,38.02,1.92,4,0.8967533550994826,0.8912876478296168,0.6735745451036306,0.6241829495263151,0.5472666999060808,0.9997093706003979,0.6469055744690273,4.0,18.0,4.0,5.0,7.0,21.0,4.0,1.5469760705064788,6.0,RegNetY_400MF
5,55.92,37.66,1.92,5,0.4900833586784574,0.5017903362441047,0.0029732776201808475,0.05969006870038385,0.0,0.9997180901573627,0.06559367528648075,11.0,20.0,22.0,22.0,23.0,20.0,21.0,0.9997180901573627,22.0,RegNetY_400MF
22,49.0,37.48,1.74,22,0.906835560033104,0.0,0.29978108022864436,0.2796667687922971,0.15167881706777397,0.9997901240354303,0.3601829922542672,3.0,21.0,12.0,16.0,20.0,19.0,12.0,1.1514689411032042,18.0,RegNetY_400MF
6,57.43,36.73,1.73,6,0.9626249163581364,0.9857199763906923,0.20311084723539488,0.3239725743618145,0.2980416239178719,0.9999979029997047,0.30504941021956533,2.0,13.0,17.0,13.0,16.0,7.0,15.0,1.2980395269175766,14.0,RegNetY_400MF
10,90.69,36.62,2.07,10,0.0,0.9816167339904074,0.4340538448114174,0.35115779936347735,0.38146654814454795,0.9999971080570859,0.3392291049286329,23.0,16.0,9.0,12.0,12.0,11.0,13.0,1.3814636562016338,11.0,RegNetY_400MF
3,83.28,36.32,2.15,3,0.20849611516063504,0.8912876478296168,0.2420922918465581,0.9825400606866115,1.0,0.0,1.0,20.0,18.0,16.0,2.0,1.0,23.0,1.0,1.0,21.0,RegNetY_400MF
9,49.01,36.19,1.61,9,0.6568783339515836,0.9899530739292675,0.25914438878508383,0.48970530032022364,0.6056782291669794,0.9999954532927707,0.46333815950502766,8.0,6.0,15.0,10.0,5.0,16.0,10.0,1.6056736824597502,4.0,RegNetY_400MF
7,88.01,36.06,2.06,7,0.35829933825863414,0.981217760437417,1.0,1.0,0.9768952515148043,0.9999965471152183,0.9942252838973298,15.0,17.0,1.0,1.0,2.0,12.0,2.0,1.9768917986300227,1.0,RegNetY_400MF
18,37.17,35.73,1.59,18,0.6492849314282054,0.9958588785089946,0.6856066711048525,0.6621428828430029,0.801781116869038,0.9999983903917706,0.6642085394031616,9.0,2.0,3.0,3.0,3.0,4.0,3.0,1.8017795072608087,2.0,RegNetY_400MF
0,93.93,35.71,2.16,0,0.3410329144322981,0.9818530371809286,0.4631605139020736,0.06596479827643931,0.14825644084293887,0.9999972049634385,0.039641153646541305,16.0,15.0,7.0,21.0,21.0,9.0,22.0,1.1482536458063772,19.0,RegNetY_400MF
8,49.94,35.37,1.64,8,0.19789412707065557,0.9897316944698771,0.40743990564065274,0.0,0.11431691502914287,0.9999978133432731,0.0,21.0,7.0,10.0,23.0,22.0,8.0,23.0,1.114314728372416,20.0,RegNetY_400MF
21,37.28,35.27,1.6,21,0.23391670157943922,0.9928771783379924,0.5319676620046052,0.3535894615071782,0.41668419595382267,0.9999964638138957,0.3662369437398474,18.0,3.0,6.0,11.0,10.0,13.0,11.0,1.4166806597677184,9.0,RegNetY_400MF
